"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"Aarthi Scans Pvt Ltd","India","Healthcare",2022-05-24,1,"Acquisition","Tata Capital Ltd","Tata Capital - Unspecified Fund",0,0,0,0,0,0,2022,"Healthcare",1,"Aarthi Scans Pvt Ltd",0,"Other"
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Kedaara Capital Investment Managers Ltd","Kedaara Capital Fund I",0,0,0,0,139,139,2016,"Financials",1,"Aavas Financiers Ltd",0,"Other"
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Partners Group Holding AG","Partners Group AG - Unspecified Fund",0,0,0,0,139,139,2016,"Financials",1,"Aavas Financiers Ltd",0,"Other"
"Aavas Financiers Ltd","India","Financials",2016-02-12,1,"Pending Acquisition","Undisclosed Firm","Undisclosed Fund",0,0,0,0,139,139,2016,"Financials",1,"Aavas Financiers Ltd",0,"Other"
"Aavas Financiers Ltd","India","Financials",2024-08-10,3,"Acquisition","CVC Capital Partners SICAV-FIS SA","CVC Capital Partners Ltd - Unspecified Fund",0,0,0,0,0,0,2024,"Financials",3,"Aavas Financiers Ltd",0,"Other"
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",1,0,4,0,0,4,2019,"Technology",3,"Aayuv Technologies Pvt Ltd",1,"Other"
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Touchstone Equities Ltd","Touchstone Equities - Unspecified Fund",1,0,4,0,0,4,2019,"Technology",3,"Aayuv Technologies Pvt Ltd",1,"Other"
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Undisclosed Firm","Undisclosed Fund",1,0,4,0,0,4,2019,"Technology",3,"Aayuv Technologies Pvt Ltd",1,"Other"
"Aayuv Technologies Pvt Ltd","India","Technology",2019-11-13,3,"Expansion","Ventureast","Ventureast - Unspecified Fund",1,0,4,0,0,4,2019,"Technology",3,"Aayuv Technologies Pvt Ltd",1,"Other"
"Aayuv Technologies Pvt Ltd","India","Technology",2022-03-17,4,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",3,0,15,0,0,15,2022,"Technology",4,"Aayuv Technologies Pvt Ltd",3,"Other"
